Datum;Event_Name;Typ;Gewichtung;Ort
2023-01-01;Neujahrstag;Feiertag;1.0;Zürich
2023-01-02;Berchtoldstag;Feiertag;1.0;Zürich
2023-01-13;World Crypto Conference;Kongress;1.0;Zürich
2023-01-14;World Crypto Conference;Kongress;1.0;Zürich
2023-01-15;World Crypto Conference;Kongress;1.0;Zürich
2023-01-21;GCZ vs BSC Young Boys;Super League;1.0;Letzigrund
2023-01-29;FCZ vs FC St. Gallen 1879;Super League;2.0;Letzigrund
2023-02-01;GCZ vs FC Basel 1893;Schweizer Cup;1.0;Letzigrund
2023-02-04;GCZ vs FC Basel 1893;Super League;1.0;Letzigrund
2023-02-12;FCZ vs FC Winterthur;Super League;2.0;Letzigrund
2023-02-19;GCZ vs FC Zürich;Super League;1.0;Letzigrund
2023-02-25;FCZ vs BSC Young Boys;Super League;2.0;Letzigrund
2023-03-05;FCZ vs Servette FC;Super League;2.0;Letzigrund
2023-03-12;GCZ vs FC Winterthur;Super League;1.0;Letzigrund
2023-03-18;FCZ vs FC Luzern;Super League;2.0;Letzigrund
2023-03-28;Personal Swiss;Fachmesse;1.0;Messe Zürich
2023-03-29;Personal Swiss;Fachmesse;1.0;Messe Zürich
2023-04-02;GCZ vs FC Lugano;Super League;1.0;Letzigrund
2023-04-07;Karfreitag;Feiertag;1.0;Zürich
2023-04-08;FCZ vs FC Basel 1893;Super League;2.0;Letzigrund
2023-04-10;Ostermontag;Feiertag;1.0;Zürich
2023-04-16;GCZ vs FC Sion;Super League;1.0;Letzigrund
2023-04-17;Sechseläuten;Feiertag;1.0;Zürich
2023-04-23;FCZ vs FC St. Gallen 1879;Super League;2.0;Letzigrund
2023-04-25;GCZ vs BSC Young Boys;Super League;1.0;Letzigrund
2023-04-30;FCZ vs FC Sion;Super League;2.0;Letzigrund
2023-05-01;Tag der Arbeit;Feiertag;1.0;Zürich
2023-05-07;GCZ vs Servette FC;Super League;1.0;Letzigrund
2023-05-13;GCZ vs FC Luzern;Super League;1.0;Letzigrund
2023-05-17;SATW-Jahreskongress;Kongress;1.0;Google Zürich
2023-05-18;Auffahrt;Feiertag;1.0;Zürich
2023-05-21;FCZ vs Grasshopper Club Zürich;Super League;2.0;Letzigrund
2023-05-25;GCZ vs FC St. Gallen 1879;Super League;1.0;Letzigrund
2023-05-29;FCZ vs FC Lugano;Super League;2.0;Letzigrund
2023-05-29;Pfingstmontag;Feiertag;1.0;Zürich
2023-07-07;Züri Fäscht;Stadtfest;3.0;Zürich
2023-07-08;Züri Fäscht;Stadtfest;3.0;Zürich
2023-07-09;Züri Fäscht;Stadtfest;3.0;Zürich
2023-07-22;GCZ vs Servette FC;Super League;1.0;Letzigrund
2023-07-23;FCZ vs Yverdon Sport FC;Super League;2.0;Letzigrund
2023-08-01;Nationalfeiertag;Feiertag;1.0;Zürich
2023-08-05;FCZ vs FC Lugano;Super League;2.0;Letzigrund
2023-08-06;GCZ vs FC Basel 1893;Super League;1.0;Letzigrund
2023-08-12;Street Parade;Stadtfest;3.0;Zürich
2023-08-26;FCZ vs FC St. Gallen 1879;Super League;2.0;Letzigrund
2023-08-27;GCZ vs FC Luzern;Super League;1.0;Letzigrund
2023-09-11;Knabenschiessen;Feiertag;1.0;Zürich
2023-09-23;GCZ vs FC St. Gallen 1879;Super League;1.0;Letzigrund
2023-09-26;FCZ vs Grasshopper Club Zürich;Super League;2.0;Letzigrund
2023-09-30;GCZ vs BSC Young Boys;Super League;1.0;Letzigrund
2023-10-07;FCZ vs FC Winterthur;Super League;2.0;Letzigrund
2023-10-13;AI+X Summit;Kongress;1.0;StageOne, Zürich-Oerlikon
2023-10-22;GCZ vs FC Lugano;Super League;1.0;Letzigrund
