Datum;Event_Name;Typ;Gewichtung;Ort
2023-01-13;World Crypto Conference;Kongress;1;Zürich
2023-01-14;World Crypto Conference;Kongress;1;Zürich
2023-01-15;World Crypto Conference;Kongress;1;Zürich
2023-03-28;Personal Swiss;Fachmesse;1;Messe Zürich
2023-03-29;Personal Swiss;Fachmesse;1;Messe Zürich
2023-05-17;SATW-Jahreskongress;Kongress;1;Google Zürich
2023-10-13;AI+X Summit;Kongress;1;StageOne, Zürich-Oerlikon
2023-11-02;Master-Messe Zürich;Fachmesse;1;Halle 550, Zürich-Oerlikon
2023-11-02;Auto Zürich;Fachmesse;2;Messe Zürich
2023-11-03;Auto Zürich;Fachmesse;2;Messe Zürich
2023-11-04;Auto Zürich;Fachmesse;2;Messe Zürich
2023-11-05;Auto Zürich;Fachmesse;2;Messe Zürich
2023-11-21;Berufsmesse Zürich;Fachmesse;2;Messe Zürich
2023-11-22;Berufsmesse Zürich;Fachmesse;2;Messe Zürich
2023-11-23;Berufsmesse Zürich;Fachmesse;2;Messe Zürich
2023-11-24;Berufsmesse Zürich;Fachmesse;2;Messe Zürich
2023-11-25;Berufsmesse Zürich;Fachmesse;2;Messe Zürich
2023-12-13;NOAH Zurich Conference;Kongress;1;Zürich
2023-12-14;NOAH Zurich Conference;Kongress;1;Zürich
2024-03-13;Giardina;Fachmesse;2;Messe Zürich
2024-03-14;Giardina;Fachmesse;2;Messe Zürich
2024-03-15;Giardina;Fachmesse;2;Messe Zürich
2024-03-16;Giardina;Fachmesse;2;Messe Zürich
2024-03-17;Giardina;Fachmesse;2;Messe Zürich
2024-03-18;Informatiktage 2024;Kongress;1;Zürich
2024-03-19;Informatiktage 2024;Kongress;1;Zürich
2024-03-20;Informatiktage 2024;Kongress;1;Zürich
2024-03-21;Informatiktage 2024;Kongress;1;Zürich
2024-03-22;Informatiktage 2024;Kongress;1;Zürich
2024-03-23;Informatiktage 2024;Kongress;1;Zürich
2024-05-23;Bildungsmesse Zürich HB;Fachmesse;1;Hauptbahnhof Zürich
2024-05-24;Bildungsmesse Zürich HB;Fachmesse;1;Hauptbahnhof Zürich
2024-05-25;Bildungsmesse Zürich HB;Fachmesse;1;Hauptbahnhof Zürich
