Datum;Event_Name;Typ;Gewichtung;Ort
2023-07-07;Züri Fäscht;Stadtfest;3;Zürich
2023-07-08;Züri Fäscht;Stadtfest;3;Zürich
2023-07-09;Züri Fäscht;Stadtfest;3;Zürich
2023-08-12;Street Parade;Stadtfest;3;Zürich
2023-12-31;Silvesterzauber;Stadtfest;2;Zürich
2024-01-01;Silvesterzauber;Stadtfest;2;Zürich
2024-08-10;Street Parade;Stadtfest;3;Zürich
2024-12-31;Silvesterzauber;Stadtfest;2;Zürich
2025-01-01;Silvesterzauber;Stadtfest;2;Zürich
2025-08-09;Street Parade;Stadtfest;3;Zürich
2025-12-31;Silvesterzauber;Stadtfest;2;Zürich
2026-01-01;Silvesterzauber;Stadtfest;2;Zürich
