Datum;Event_Name;Typ;Gewichtung;Ort
2022-07-23;FCZ vs FC Luzern;Super League;2;Letzigrund
2022-07-24;GCZ vs FC Lugano;Super League;1;Letzigrund
2022-07-27;FCZ vs Qarabağ Ağdam;UEFA Champions League Qual.;2;Letzigrund
2022-08-06;GCZ vs FC St. Gallen 1879;Super League;1;Letzigrund
2022-08-07;FCZ vs FC Sion;Super League;2;Letzigrund
2022-08-11;FCZ vs Linfield FC;UEFA Europa League Qual.;2;Letzigrund
2022-08-18;FCZ vs Heart of Midlothian FC;UEFA Europa League Qual.;2;Letzigrund
2022-08-28;FCZ vs FC Basel 1893;Super League;2;Letzigrund
2022-09-03;FCZ vs FC Lugano;Super League;2;Letzigrund
2022-09-04;GCZ vs FC Winterthur;Super League;1;Letzigrund
2022-09-08;FCZ vs FC Arsenal;UEFA Europa League;2;Letzigrund
2022-10-01;GCZ vs FC Zürich;Super League;1;Letzigrund
2022-10-06;FCZ vs PSV Eindhoven;UEFA Europa League;2;Letzigrund
2022-10-08;GCZ vs FC Sion;Super League;1;Letzigrund
2022-10-09;FCZ vs FC Winterthur;Super League;2;Letzigrund
2022-10-16;FCZ vs BSC Young Boys;Super League;2;Letzigrund
2022-10-20;GCZ vs Servette FC;Super League;1;Letzigrund
2022-10-23;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2022-10-27;FCZ vs FK Bodø/Glimt;UEFA Europa League;2;Letzigrund
2022-10-29;GCZ vs FC Luzern;Super League;1;Letzigrund
2022-11-12;GCZ vs FC Basel 1893;Super League;1;Letzigrund
2022-11-13;FCZ vs Servette FC;Super League;2;Letzigrund
2023-01-21;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2023-01-29;FCZ vs FC St. Gallen 1879;Super League;2;Letzigrund
2023-02-01;GCZ vs FC Basel 1893;Schweizer Cup;1;Letzigrund
2023-02-04;GCZ vs FC Basel 1893;Super League;1;Letzigrund
2023-02-12;FCZ vs FC Winterthur;Super League;2;Letzigrund
2023-02-19;GCZ vs FC Zürich;Super League;1;Letzigrund
2023-02-25;FCZ vs BSC Young Boys;Super League;2;Letzigrund
2023-03-05;FCZ vs Servette FC;Super League;2;Letzigrund
2023-03-12;GCZ vs FC Winterthur;Super League;1;Letzigrund
2023-03-18;FCZ vs FC Luzern;Super League;2;Letzigrund
2023-04-02;GCZ vs FC Lugano;Super League;1;Letzigrund
2023-04-08;FCZ vs FC Basel 1893;Super League;2;Letzigrund
2023-04-16;GCZ vs FC Sion;Super League;1;Letzigrund
2023-04-23;FCZ vs FC St. Gallen 1879;Super League;2;Letzigrund
2023-04-25;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2023-04-30;FCZ vs FC Sion;Super League;2;Letzigrund
2023-05-07;GCZ vs Servette FC;Super League;1;Letzigrund
2023-05-13;GCZ vs FC Luzern;Super League;1;Letzigrund
2023-05-21;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2023-05-25;GCZ vs FC St. Gallen 1879;Super League;1;Letzigrund
2023-05-29;FCZ vs FC Lugano;Super League;2;Letzigrund
2023-07-22;GCZ vs Servette FC;Super League;1;Letzigrund
2023-07-23;FCZ vs Yverdon Sport FC;Super League;2;Letzigrund
2023-08-05;FCZ vs FC Lugano;Super League;2;Letzigrund
